fips,state,county,total_population,nonwhite_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,college_pct
02110,Alaska,Juneau,31794,38.63622067056678,49.23255960244071,35.04120274265585,15.990438447505818,101661,4.005130297907072,41.238790223316336
02122,Alaska,Kenai Peninsula,60413,22.46536341515899,47.858904540413484,34.7756277622366,20.00397265489216,80538,6.991094852750988,29.775045410088026
02130,Alaska,Ketchikan Gateway,13768,39.620859965136546,47.80650784427658,34.79081929110982,17.67141196978501,92885,3.123709921563231,27.432296890672013
02150,Alaska,Kodiak Island,12771,54.98394800720382,47.09106569571686,41.80565343356041,13.914337170151123,86250,5.013571770716909,28.664688427299705
02158,Alaska,Kusilvak,8176,97.07681017612525,46.599804305283755,58.745107632093934,6.824853228962818,51471,19.820441988950275,5.776081424936387
02164,Alaska,Lake and Peninsula,1013,84.106614017769,43.23790720631787,38.302073050345506,10.661401776900297,65625,8.585055643879173,16.329479768786126
02170,Alaska,Matanuska-Susitna,112988,24.347718341770808,47.627181647608595,40.11487945622544,13.716500867348746,94031,5.77255511313975,24.40647169634865
02180,Alaska,Nome,9866,86.5801743361038,47.32414352321103,51.08453273869856,8.86884248935739,78681,16.881918819188193,13.966987121349536
02185,Alaska,North Slope,10810,68.96392229417206,38.8159111933395,41.82238667900093,8.094357076780758,95694,7.596573460481655,15.641205325858445
02188,Alaska,Northwest Arctic,7441,90.82112619271602,47.762397527214084,52.39887111947319,8.466603951081844,84018,16.660964762230584,10.631395058647367
02195,Alaska,Petersburg,3409,38.51569375183338,45.96655910824288,30.536814315048403,23.52596069228513,75125,3.7682789651293587,25.819344524380494
02198,Alaska,Prince of Wales-Hyder,5715,56.37795275590551,44.84689413823272,33.1583552055993,20.594925634295713,61156,7.65466620062915,14.928276197422804
02220,Alaska,Sitka,8368,42.36376673040153,49.079827915869984,33.80736137667304,17.674474187380497,101727,6.782231852654387,34.269387755102045
02230,Alaska,Skagway,1244,31.189710610932476,60.369774919614144,29.581993569131832,18.2475884244373,81136,9.137709137709138,28.512396694214875
02240,Alaska,Southeast Fairbanks,7068,27.801358234295414,42.50141482739106,38.55404640633843,15.647990945104697,73882,6.469088591459529,23.230834035383317
